Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Dominica,DMA,Internet users (per 100 people),IT.NET.USER.P2,8.81484419762881,13.2452280386761,18.4248927671241,23.6204198529629,30.3196130921568,38.5436432637571,39.39817430347,40.2744630071599,41.16,42.02,47.45,51.3135,55.1770141638519
Dominican Republic,DOM,Internet users (per 100 people),IT.NET.USER.P2,3.70469235587688,4.42939069666645,6.8237257325842,7.89839293716387,8.8655534607044,11.4831977789344,14.8449283654589,17.66,20.82,27.72,31.4,38.5818974054268,45
Ecuador,ECU,Internet users (per 100 people),IT.NET.USER.P2,1.46218853556457,2.67044367376705,4.26079691519764,4.46022834472698,4.83444263759525,5.99425516097331,7.2,10.8,18.8,24.6,29.03,31.4,35.1345062239322
"Egypt, Arab Rep.",EGY,Internet users (per 100 people),IT.NET.USER.P2,0.641265037504813,0.838945611477604,2.71999971465421,4.03788510706701,11.92,12.75,13.66,16.03,18.01,25.69,31.42,39.83,44.07
El Salvador,SLV,Internet users (per 100 people),IT.NET.USER.P2,1.17739726914477,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,25.5
Equatorial Guinea,GNQ,Internet users (per 100 people),IT.NET.USER.P2,0.132354665123789,0.16526042288306,0.321197997152044,0.520524272046806,0.843930284607049,1.14978967061811,1.27919359635686,1.55712305943539,1.82,2.13,6,11.5,13.9431821913076
Eritrea,ERI,Internet users (per 100 people),IT.NET.USER.P2,0.136711941104496,0.157815289303043,0.227090137626716,,,,,,,,,0.7,0.8
Estonia,EST,Internet users (per 100 people),IT.NET.USER.P2,28.5769538105646,31.5274897673756,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,79
Ethiopia,ETH,Internet users (per 100 people),IT.NET.USER.P2,0.0152637672082567,0.0371623810686744,0.0724022618698295,0.105811658802603,0.155334520794722,0.219659818999505,0.310592656856176,0.37,0.45,0.54,0.75,1.1,1.48281013861396
Faeroe Islands,FRO,Internet users (per 100 people),IT.NET.USER.P2,32.916392363397,43.2469835228993,53.2992218313613,58.9126409695337,66.5335994677312,67.9026317413939,69.359445124439,75.98,75.57,75.18,75.2,80.7321728,85.3351892392109
Fiji,FJI,Internet users (per 100 people),IT.NET.USER.P2,1.4968547339902,1.8579785936093,6.15264970011985,6.72543473821551,7.4129434854202,8.45363663371359,9.6000384001536,10.8978310454645,13,17,20,28,33.7423567521104
Finland,FIN,Internet users (per 100 people),IT.NET.USER.P2,37.2484617371121,43.1053633522263,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,89.37,91
France,FRA,Internet users (per 100 people),IT.NET.USER.P2,14.3079239430677,26.3259035521688,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,80.1,79.58,83
French Polynesia,PYF,Internet users (per 100 people),IT.NET.USER.P2,6.3570635452072,6.25158894552365,8.20021648571522,14.1242937853107,17.8845374263753,21.5421854743002,25.1079642462589,28.59,33.87,44.6,49,49,52.8766305867993
Gabon,GAB,Internet users (per 100 people),IT.NET.USER.P2,1.21614061828589,1.34762022159633,1.93953010616212,2.65958659385985,2.97906980035019,4.89326474972412,5.48920080280135,5.76700457562583,6.21,6.7,7.23,8,8.61671448924674
"Gambia, The",GMB,Internet users (per 100 people),IT.NET.USER.P2,0.921794919066406,1.33679116648397,1.79677988296495,2.436781193062,3.30800347812937,3.79900113882231,5.23769115841218,6.20503741852418,6.88,7.63,9.2,10.8703,12.4492287209242
Georgia,GEO,Internet users (per 100 people),IT.NET.USER.P2,0.484746298540492,0.992344436138154,1.58787562980332,2.55881648068489,3.88622135350273,6.07945762869794,7.52687684487832,8.26,10.01,20.07,26.9,36.56,45.5030980139962
Germany,DEU,Internet users (per 100 people),IT.NET.USER.P2,30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,83,84
Ghana,GHA,Internet users (per 100 people),IT.NET.USER.P2,0.153615297625799,0.200008060324831,0.830284033818739,1.19305791098328,1.71679770389504,1.83119746104616,2.72317597313987,3.85,4.27,5.44,7.8,14.11,17.1076783234217
Greece,GRC,Internet users (per 100 people),IT.NET.USER.P2,9.13883730776798,10.9350258080278,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,53,56
Greenland,GRL,Internet users (per 100 people),IT.NET.USER.P2,31.7478112321162,35.4641368915684,44.154789028418,54.5342598293605,56.0990147610533,57.7034045008656,59.361687268664,61.07,62.82,62.83,63,64,64.8960100995989
Grenada,GRD,Internet users (per 100 people),IT.NET.USER.P2,4.06390799146313,5.12810398216998,14.7588405454867,18.6451821830564,19.5706205843787,20.4878048780488,21.3959911692909,22.29,23.18,24.05,33.46,38.13,42.090255661502
Guam,GUM,Internet users (per 100 people),IT.NET.USER.P2,16.1131270423389,25.3802275337398,31.1922942556271,33.7166817880876,36.1617878387908,38.559877557558,43.8514430048178,46.1504736192355,48.4187021509296,50.6420283820435,54.04,57.7,61.5341593079002
Guatemala,GTM,Internet users (per 100 people),IT.NET.USER.P2,0.712332904508925,1.7382017815873,3.39174627024502,4.54885490848324,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16
Guinea,GIN,Internet users (per 100 people),IT.NET.USER.P2,0.0954249236063846,0.175541868491054,0.402022748744397,0.450960370842751,0.508819332302937,0.542254180996637,0.637492122987955,0.780025279059244,0.92,0.94,1,1.3,1.49014436571885
